row_id,drink,date_modified,id_drink,alcoholic,category,drink_thumb,glass,iba,video,ingredient_number,ingredient,measure
405,Pink Lady,9/8/17 17:23,11938,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/5ia6j21504887829.jpg,Cocktail glass,NA,NA,4,Egg white,1
406,Pink Panty Pulldowns,7/19/16 12:10,13535,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/squsuy1468926657.jpg,Collins Glass,NA,NA,1,Sprite,1 L
406,Pink Panty Pulldowns,7/19/16 12:10,13535,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/squsuy1468926657.jpg,Collins Glass,NA,NA,2,Pink lemonade,2 cups
406,Pink Panty Pulldowns,7/19/16 12:10,13535,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/squsuy1468926657.jpg,Collins Glass,NA,NA,3,Vodka,2 cups
407,Pink Penocha,8/24/17 9:40,16992,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/6vigjx1503564007.jpg,Punch bowl,NA,NA,1,Everclear,750 ml
407,Pink Penocha,8/24/17 9:40,16992,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/6vigjx1503564007.jpg,Punch bowl,NA,NA,2,Vodka,1750 ml
407,Pink Penocha,8/24/17 9:40,16992,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/6vigjx1503564007.jpg,Punch bowl,NA,NA,3,Peach schnapps,1750 ml
407,Pink Penocha,8/24/17 9:40,16992,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/6vigjx1503564007.jpg,Punch bowl,NA,NA,4,Orange juice,1 gal
407,Pink Penocha,8/24/17 9:40,16992,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/6vigjx1503564007.jpg,Punch bowl,NA,NA,5,Cranberry juice,1 gal
408,Pisco Sour,8/18/15 15:20,13214,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/tsssur1439907622.jpg,Cocktail glass,New Era Drinks,NA,1,Pisco,2 oz
408,Pisco Sour,8/18/15 15:20,13214,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/tsssur1439907622.jpg,Cocktail glass,New Era Drinks,NA,2,Lemon juice,1 oz
408,Pisco Sour,8/18/15 15:20,13214,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/tsssur1439907622.jpg,Cocktail glass,New Era Drinks,NA,3,Sugar,1-2 tblsp
409,Planter's Punch,9/2/17 12:23,17191,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/yvos231504351384.jpg,Collins glass,Unforgettables,NA,1,Dark rum,1 part
409,Planter's Punch,9/2/17 12:23,17191,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/yvos231504351384.jpg,Collins glass,Unforgettables,NA,2,Orgeat syrup,1/2 part
409,Planter's Punch,9/2/17 12:23,17191,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/yvos231504351384.jpg,Collins glass,Unforgettables,NA,3,Orange juice,2 parts
409,Planter's Punch,9/2/17 12:23,17191,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/yvos231504351384.jpg,Collins glass,Unforgettables,NA,4,Pineapple juice,1 part
410,Popped cherry,9/8/16 15:27,13072,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/sxvrwv1473344825.jpg,Highball glass,NA,NA,1,Vodka,2 oz
410,Popped cherry,9/8/16 15:27,13072,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/sxvrwv1473344825.jpg,Highball glass,NA,NA,2,Cherry liqueur,2 oz
410,Popped cherry,9/8/16 15:27,13072,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/sxvrwv1473344825.jpg,Highball glass,NA,NA,3,Cranberry juice,4 oz
410,Popped cherry,9/8/16 15:27,13072,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/sxvrwv1473344825.jpg,Highball glass,NA,NA,4,Orange juice,4 oz
411,Poppy Cocktail,9/2/17 23:05,11959,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/cslw1w1504389915.jpg,Cocktail glass,NA,NA,1,Gin,1 1/2 oz
411,Poppy Cocktail,9/2/17 23:05,11959,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/cslw1w1504389915.jpg,Cocktail glass,NA,NA,2,Creme de Cacao,3/4 oz white
412,Port And Starboard,9/6/15 16:38,11961,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/wxvupx1441553911.jpg,Pousse cafe glass,NA,NA,1,Grenadine,1 tblsp
412,Port And Starboard,9/6/15 16:38,11961,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/wxvupx1441553911.jpg,Pousse cafe glass,NA,NA,2,Green Creme de Menthe,1/2 oz
413,Port Wine Cocktail,9/6/15 16:39,11963,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qruprq1441553976.jpg,Cocktail glass,NA,NA,1,Port,2 1/2 oz
413,Port Wine Cocktail,9/6/15 16:39,11963,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qruprq1441553976.jpg,Cocktail glass,NA,NA,2,Brandy,1/2 tsp
414,Port Wine Flip,9/6/15 16:37,11965,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vrprxu1441553844.jpg,Whiskey sour glass,NA,NA,1,Port,1 1/2 oz
